competencia_id,deporte,evento,genero_evento
218,Gymnastics,Gymnastics Women's Balance Beam,Femenino
219,Diving,Diving Women's Springboard,Femenino
220,Diving,Diving Women's Synchronized Springboard,Femenino
221,Athletics,"Athletics Women's 10,000 metres",Femenino
222,Sailing,Sailing Mixed 7 metres,Mixto/Open
223,Judo,Judo Women's Half-Middleweight,Femenino
224,Athletics,Athletics Men's Decathlon,Masculino
225,Biathlon,Biathlon Men's 10 kilometres Sprint,Masculino
226,Biathlon,Biathlon Men's 20 kilometres,Masculino
227,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Masculino
228,Freestyle Skiing,Freestyle Skiing Men's Moguls,Masculino
229,Wrestling,"Wrestling Men's Middleweight A, Greco-Roman",Masculino
230,Athletics,Athletics Women's Discus Throw,Femenino
231,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Femenino
232,Athletics,"Athletics Women's 1,500 metres",Femenino
233,Shooting,"Shooting Women's Air Pistol, 10 metres",Femenino
234,Shooting,"Shooting Women's Sporting Pistol, 25 metres",Femenino
235,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Masculino
236,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Masculino
237,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Masculino
238,Shooting,"Shooting Men's Running Target, 50 metres",Masculino
239,Judo,Judo Women's Half-Heavyweight,Femenino
240,Athletics,Athletics Women's Pole Vault,Femenino
241,Rugby Sevens,Rugby Sevens Women's Rugby Sevens,Femenino
242,Table Tennis,Table Tennis Men's Team,Masculino
243,Figure Skating,Figure Skating Mixed Pairs,Mixto/Open
244,Freestyle Skiing,Freestyle Skiing Men's Aerials,Masculino
245,Rowing,Rowing Women's Coxed Eights,Femenino
246,Athletics,Athletics Women's 4 x 400 metres Relay,Femenino
247,Alpine Skiing,Alpine Skiing Women's Giant Slalom,Femenino
248,Alpine Skiing,Alpine Skiing Women's Super G,Femenino
249,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Femenino
